task,script,url
Image Captioning,"Image Captioning is the task of describing the content of an image in words. This task lies at the intersection of computer vision and natural language processing. Most image captioning systems use an encoder-decoder framework, where an input image is encoded into an intermediate representation of the information in the image, and then decoded into a descriptive text sequence. The most popular benchmarks are nocaps and COCO, and models are typically evaluated according to a BLEU or CIDER metric.
( Image credit: Reflective Decoding Network for Image Captioning, ICCV'19)",https://paperswithcode.com/task/image-captioning
Image Deblurring,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/image-deblurring
Image Dehazing,( Image credit: Densely Connected Pyramid Dehazing Network ),https://paperswithcode.com/task/image-dehazing
Image Denoising,"Image Denoising is a computer vision task that involves removing noise from an image. Noise can be introduced into an image during acquisition or processing, and can reduce image quality and make it difficult to interpret. Image denoising techniques aim to restore an image to its original quality by reducing or removing the noise, while preserving the important features of the image.
( Image credit: Wide Inference Network for Image Denoising via Learning Pixel-distribution Prior )",https://paperswithcode.com/task/image-denoising
Image Generation from Scene Graphs,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/image-generation-from-scene-graphs
Image Manipulation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/image-manipulation
Image Registration,"Image registration is the process of transforming different sets of data into one coordinate system. Data may be multiple photographs, data from different sensors, times, depths, or viewpoints. It is used in computer vision, medical imaging, and compiling and analyzing images and data from satellites. Registration is necessary in order to be able to compare or integrate the data obtained from these different measurements.
Source: Image registration | Wikipedia
( Image credit: Kornia )",https://paperswithcode.com/task/image-registration
Image Relighting,Image relighting involves changing the illumination settings of an image.,https://paperswithcode.com/task/image-relighting
Image Restoration,"Image Restoration is a family of inverse problems for obtaining a high quality image from a corrupted input image. Corruption may occur due to the image-capture process (e.g., noise, lens blur), post-processing (e.g., JPEG compression), or photography in non-ideal conditions (e.g., haze, motion blur).
Source: Blind Image Restoration without Prior Knowledge",https://paperswithcode.com/task/image-restoration
Image-level Supervised Instance Segmentation,Weakly-Supervised Instance Segmentation using Image-level Labels,https://paperswithcode.com/task/image-level-supervised-instance-segmentation
Image-to-Text Retrieval,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/image-to-text-retrieval
Imitation Learning,"Imitation Learning is a framework for learning a behavior policy from demonstrations. Usually, demonstrations are presented in the form of state-action trajectories, with each pair indicating the action to take at the state being visited. In order to learn the behavior policy, the demonstrated actions are usually utilized in two ways. The first, known as Behavior Cloning (BC), treats the action as the target label for each state, and then learns a generalized mapping from states to actions in a supervised manner. Another way, known as Inverse Reinforcement Learning (IRL), views the demonstrated actions as a sequence of decisions, and aims at finding a reward/cost function under which the demonstrated decisions are optimal.
Finally, a newer methodology, Inverse Q-Learning aims at directly learning Q-functions from expert data, implicitly representing rewards, under which the optimal policy can be given as a Boltzmann distribution similar to soft Q-learning
Source: Learning to Imitate",https://paperswithcode.com/task/imitation-learning
Imputation,Substituting missing data with values according to some criteria.,https://paperswithcode.com/task/imputation
Indoor Localization,Indoor localization is a fundamental problem in indoor location-based applications.,https://paperswithcode.com/task/indoor-localization
Information Retrieval,"Information retrieval is the task of ranking a list of documents or search results in response to a query
( Image credit: sudhanshumittal )",https://paperswithcode.com/task/information-retrieval
Instrument Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/instrument-recognition
Inverse-Tone-Mapping,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/inverse-tone-mapping-1
Joint Demosaicing and Denoising,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/joint-demosaicing-and-denoising
Keypoint Detection,"Keypoint Detection involves simultaneously detecting people and localizing their keypoints. Keypoints are the same thing as interest points. They are spatial locations, or points in the image that define what is interesting or what stand out in the image. They are invariant to image rotation, shrinkage, translation, distortion, and so on.
( Image credit: PifPaf: Composite Fields for Human Pose Estimation; ""Learning to surf"" by fotologic, license: CC-BY-2.0 )",https://paperswithcode.com/task/keypoint-detection
Kinematic Based Workflow Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/kinematic-based-workflow-recognition
Knowledge Distillation,"A very simple way to improve the performance of almost any machine learning algorithm is to train many different models on the same data and then to average their predictions. Unfortunately, making predictions using a whole ensemble of models is cumbersome and may be too computationally expensive to allow deployment to a large number of users, especially if the individual models are large neural nets. Caruana and his collaborators have shown that it is possible to compress the knowledge in an ensemble into a single model which is much easier to deploy and we develop this approach further using a different compression technique. We achieve some surprising results on MNIST and we show that we can significantly improve the acoustic model of a heavily used commercial system by distilling the knowledge in an ensemble of models into a single model. We also introduce a new type of ensemble composed of one or more full models and many specialist models which learn to distinguish fine-grained classes that the full models confuse. Unlike a mixture of experts, these specialist models can be trained rapidly and in parallel. Source: Distilling the Knowledge in a Neural Network
Source:
Distilling the Knowledge in a Neural Network
Read Paper
See Code",https://paperswithcode.com/method/knowledge-distillation
Language Modelling,"Language Modeling is the task of predicting the next word or character in a document. This technique can be used to train language models that can further be applied to a wide range of natural language tasks like text generation, text classification, and question answering.
The common types of language modeling techniques involve:
N-gram Language Models
Neural Langauge Models
A model's language modeling capability is measured using cross-entropy and perplexity. Some datasets to evaluate language modeling are WikiText-103, One Billion Word, Text8, C4, among others.
One of the most recent popular benchmarks to evaluate language modeling capabilities is called SuperGLUE.
Some popular and notable state-of-the-art language models, include:
GPT-3
Megatron-LM
BERT
Check below for all state-of-the-art models.
Here are some additional readings to go deeper on the task:
Language Modeling - Lena Voita
( Image credit: Exploring the Limits of Language Modeling )",https://paperswithcode.com/task/language-modelling
Layout-to-Image Generation,"Layout-to-image generation its the task to generate a scene based on the given layout. The layout describes the location of the objects to be included in the output image. In this section, you can find state-of-the-art leaderboards for Layout-to-image generation.",https://paperswithcode.com/task/layout-to-image-generation
Lesion Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/lesion-detection
License Plate Detection,License Plate Recognition is an image-processing technology used to identify vehicles by their license plates. This technology is used in various security and traffic applications.,https://paperswithcode.com/task/license-plate-detection
License Plate Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/license-plate-recognition
Lip password classification,A classification task that predicts whether the designated user is uttering the designated password.,https://paperswithcode.com/task/lip-password-classification
Localization In Video Forgery,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/localization-in-video-forgery
Logical Reasoning Question Answering,"Introduced by ReClor (ICLR 2020), logical reasoning is to evaluate the logical reasoning ability of models for question answering.",https://paperswithcode.com/task/logical-reasoning-question-ansering
Long Term Action Anticipation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/long-term-action-anticipation
Long-tail Learning,"Long-tailed learning, one of the most challenging problems in visual recognition, aims to train well-performing models from a large number of images that follow a long-tailed class distribution.",https://paperswithcode.com/task/long-tail-learning
Low resource - Speech Emotion Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/low-resource-speech-emotion-recognition
Low-Light Image Enhancement,"Low-Light Image Enhancement is a computer vision task that involves improving the quality of images captured under low-light conditions. The goal of low-light image enhancement is to make images brighter, clearer, and more visually appealing, without introducing too much noise or distortion.",https://paperswithcode.com/task/low-light-image-enhancement
MULTI-VIEW LEARNING,"Multi-View Learning is a machine learning framework where data are represented by multiple distinct feature groups, and each feature group is referred to as a particular view.
Source: Dissimilarity-based representation for radiomics applications",https://paperswithcode.com/task/multi-view-learning
Markerless Motion Capture,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/markerless-motion-capture
Medical Diagnosis,"Medical Diagnosis is the process of identifying the disease a patient is affected by, based on the assessment of specific risk factors, signs, symptoms and results of exams.
Source: A probabilistic network for the diagnosis of acute cardiopulmonary diseases",https://paperswithcode.com/task/medical-diagnosis
Medical Image Registration,"Image registration, also known as image fusion or image matching, is the process of aligning two or more images based on image appearances. Medical Image Registration seeks to find an optimal spatial transformation that best aligns the underlying anatomical structures. Medical Image Registration is used in many clinical applications such as image guidance, motion tracking, segmentation, dose accumulation, image reconstruction and so on. Medical Image Registration is a broad topic which can be grouped from various perspectives. From input image point of view, registration methods can be divided into unimodal, multimodal, interpatient, intra-patient (e.g. same- or different-day) registration. From deformation model point of view, registration methods can be divided in to rigid, affine and deformable methods. From region of interest (ROI) perspective, registration methods can be grouped according to anatomical sites such as brain, lung registration and so on. From image pair dimension perspective, registration methods can be divided into 3D to 3D, 3D to 2D and 2D to 2D/3D.
Source: Deep Learning in Medical Image Registration: A Review",https://paperswithcode.com/task/medical-image-registration
Medical Object Detection,"Medical object detection is the task of identifying medical-based objects within an image.
( Image credit: Liver Lesion Detection from Weakly-labeled Multi-phase CT Volumes with a Grouped Single Shot MultiBox Detector )",https://paperswithcode.com/task/medical-object-detection
Metaheuristic Optimization,"In computer science and mathematical optimization, a metaheuristic is a higher-level procedure or heuristic designed to find, generate, or select a heuristic (partial search algorithm) that may provide a sufficiently good solution to an optimization problem. For some examples, you can visit https://aliasgharheidari.com/Publications.html",https://paperswithcode.com/task/metaheuristic-optimization
Micro-Expression Spotting,"Facial Micro-Expression Spotting is a challenging task in identifying onset, apex and/or offset over a short or long micro-expression sequence.",https://paperswithcode.com/task/micro-expression-spotting
Misinformation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/misinformation
Mistake Detection,"Mistakes are natural occurrences in many tasks and an opportunity for an AR assistant to provide help. Identifying such mistakes requires modelling procedural knowledge and retaining long-range sequence information. In its simplest form Mistake Detection aims to classify each coarse action segment into one of the three classes: {“correct”, “mistake”, “correction”}.",https://paperswithcode.com/task/mistake-detection
Moment Queries,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/moment-queries
Monocular 3D Human Pose Estimation,This task targets at 3D human pose estimation with a single RGB camera.,https://paperswithcode.com/task/monocular-3d-human-pose-estimation
Monocular 3D Object Detection,Monocular 3D Object Detection is the task to draw 3D bounding box around objects in a single 2D RGB image. It is localization task but without any extra information like depth or other sensors or multiple-images.,https://paperswithcode.com/task/monocular-3d-object-detection
Monocular Cross-View Road Scene Parsing(Road),This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/monocular-cross-view-road-scene-parsing-road
Monocular Cross-View Road Scene Parsing(Vehicle),This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/monocular-cross-view-road-scene-parsing
Motion Disentanglement,"A self-supervised learning method to disentangle irregular (anomalous) motion from regular motion in unlabeled videos.
Source:
Domain Knowledge-Informed Self-Supervised Representations for Workout Form Assessment
Read Paper
See Code",https://paperswithcode.com/method/motion-disentanglement
Motion Synthesis,Image source: Multi-View Motion Synthesis via Applying Rotated Dual-Pixel Blur Kernels,https://paperswithcode.com/task/motion-synthesis
Moving Object Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/moving-object-detection
Multi Future Trajectory Prediction,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multi-future-trajectory-prediction-1
Multi-Frame Super-Resolution,"When multiple images of the same view are taken from slightly different positions, perhaps also at different times, then they collectively contain more information than any single image on its own. Multi-Frame Super-Resolution fuses these low-res inputs into a composite high-res image that can reveal some of the original detail that cannot be recovered from any low-res image alone.
( Credit: HighRes-net )",https://paperswithcode.com/task/multi-frame-super-resolution
Multi-Instance Retrieval,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multi-instance-retrieval
Multi-Label Image Classification,The Multi-Label Image Classification focuses on predicting labels for images in a multi-class classification problem where each image may belong to more than one class.,https://paperswithcode.com/task/multi-label-image-classification
Multi-Person Pose Estimation and Tracking,"Joint multi-person pose estimation and tracking following the PoseTrack benchmark. https://posetrack.net/
( Image credit: PoseTrack )",https://paperswithcode.com/task/multi-person-pose-estimation-and-tracking
Multi-agent Reinforcement Learning,"The target of Multi-agent Reinforcement Learning is to solve complex problems by integrating multiple agents that focus on different sub-tasks. In general, there are two types of multi-agent systems: independent and cooperative systems.
Source: Show, Describe and Conclude: On Exploiting the Structure Information of Chest X-Ray Reports",https://paperswithcode.com/task/multi-agent-reinforcement-learning
Multi-modal Classification,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multi-modal-classification
Multi-task Audio Source Seperation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multi-task-audio-source-seperation
Multimodal Abstractive Text Summarization,Abstractive text summarization by utilizing information from multiple modalities.,https://paperswithcode.com/task/multimodal-abstractive-text-summarization
Multimodal Association,"Multimodal association refers to the process of associating multiple modalities or types of data in time series analysis. In time series analysis, multiple modalities or types of data can be collected, such as sensor data, images, audio, and text. Multimodal association aims to integrate these different types of data to improve the understanding and prediction of the time series.
For example, in a smart home application, sensor data from temperature, humidity, and motion sensors can be combined with images from cameras to monitor the activities of residents. By analyzing the multimodal data together, the system can detect anomalies or patterns that may not be visible in individual modalities alone.
Multimodal association can be achieved using various techniques, including deep learning models, statistical models, and graph-based models. These models can be trained on the multimodal data to learn the associations and dependencies between the different types of data.",https://paperswithcode.com/task/multimodal-association
Multimodal Forgery Detection,Multimodal Forgery Detection task is a deep forgery detection method which uses both video and audio.,https://paperswithcode.com/task/multimodal-forgery-detection
Multimodal GIF Dialog,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multimodal-gif-dialog
Multiple Object Track and Segmentation,"Multiple object tracking and segmentation requires detecting, tracking, and segmenting objects belonging to a set of given classes.
(Image and definition credit: Prototypical Cross-Attention Networks for Multiple Object Tracking and Segmentation, NeurIPS 2021, Spotlight )",https://paperswithcode.com/task/multiple-object-track-and-segmentation
Multiview Detection,Incorporating multiple camera views for detection in heavily occluded scenarios.,https://paperswithcode.com/task/multiview-detection
Multiview Gait Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multiview-gait-recognition
Music Classification,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/music-classification
Music Emotion Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/music-emotion-recognition
Music Generation,"Music Generation is the task of generating music or music-like sounds from a model or algorithm. The goal is to produce a sequence of notes or sound events that are similar to existing music in some way, such as having the same style, genre, or mood.",https://paperswithcode.com/task/music-generation
Natural Language Inference,"Natural language inference (NLI) is the task of determining whether a ""hypothesis"" is true (entailment), false (contradiction), or undetermined (neutral) given a ""premise"".
Example:
Premise Label Hypothesis
A man inspects the uniform of a figure in some East Asian country. contradiction The man is sleeping.
An older and younger man smiling. neutral Two men are smiling and laughing at the cats playing on the floor.
A soccer game with multiple males playing. entailment Some men are playing a sport.
Approaches used for NLI include earlier symbolic and statistical approaches to more recent deep learning approaches. Benchmark datasets used for NLI include SNLI, MultiNLI, SciTail, among others. You can get hands-on practice on the SNLI task by following this d2l.ai chapter.
Further readings:
Recent Advances in Natural Language Inference: A Survey of Benchmarks, Resources, and Approaches",https://paperswithcode.com/task/natural-language-inference
Natural Language Understanding,"Natural Language Understanding is an important field of Natural Language Processing which contains various tasks such as text classification, natural language inference and story comprehension. Applications enabled by natural language understanding range from question answering to automated reasoning.
Source: Find a Reasonable Ending for Stories: Does Logic Relation Help the Story Cloze Test?",https://paperswithcode.com/task/natural-language-understanding
No-Reference Image Quality Assessment,An Image Quality Assessment approach where no reference image information is available to the model.,https://paperswithcode.com/task/no-reference-image-quality-assessment
Object Categorization,"Object categorization identifies which label, from a given set, best corresponds to an image region defined by an input image and bounding box.",https://paperswithcode.com/task/object-categorization
Object Detection In Indoor Scenes,"Object detection in indoor scenes is the task of performing object detection within an indoor environment.
( Image credit: Faster Bounding Box Annotation for Object Detection in Indoor Scenes )",https://paperswithcode.com/task/object-detection-in-indoor-scenes
Object Discovery,"Object Discovery is the task of identifying previously unseen objects.
Source: Unsupervised Object Discovery and Segmentation of RGBD-images",https://paperswithcode.com/task/object-discovery
Object Proposal Generation,"Object proposal generation is a preprocessing technique that has been widely used in current object detection pipelines to guide the search of objects and avoid exhaustive sliding window search across images.
( Image credit: Multiscale Combinatorial Grouping for Image Segmentation and Object Proposal Generation )",https://paperswithcode.com/task/object-proposal-generation
Object State Change Classification,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/object-state-change-classification
Occluded 3D Object Symmetry Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/occluded-3d-object-symmetry-detection
Offline RL,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/offline-rl
One-Shot Instance Segmentation,( Image credit: Siamese Mask R-CNN ),https://paperswithcode.com/task/one-shot-instance-segmentation
One-Shot Object Detection,( Image credit: Siamese Mask R-CNN ),https://paperswithcode.com/task/one-shot-object-detection
One-shot visual object segmentation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/one-shot-visual-object-segmentation
Open Set Action Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/open-set-action-recognition
Open Vocabulary Object Detection,Open-vocabulary detection (OVD) aims to generalize beyond the limited number of base classes labeled during the training phase. The goal is to detect novel classes defined by an unbounded (open) vocabulary at inference.,https://paperswithcode.com/task/open-vocabulary-object-detection
Open-Domain Dialog,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/open-domain-dialog
Organ Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/organ-detection
Paraphrase Generation,"Paraphrase Generation involves transforming a natural language sentence to a new sentence, that has the same semantic meaning but a different syntactic or lexical surface form.",https://paperswithcode.com/task/paraphrase-generation
Partial Label Learning,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/partial-label-learning
Partial Point Cloud Matching,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/partial-point-cloud-matching
Partial Video Copy Detection,The PVCD goal is identifying and locating if one or more segments of a long testing video have been copied (transformed) from the reference videos dataset.,https://paperswithcode.com/task/partial-video-copy-detection
Pedestrian Trajectory Prediction,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/pedestrian-trajectory-prediction
Person Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/person-recognition
Personality Recognition in Conversation,"Given a speaker's conversation with others, it is required to recognize the speaker's personality traits through the conversation record, which includes two scenarios, (1)
1
−
1
conversations: the robot recognizes the personality traits of the speaker through the conversation between them (e.g., psychological counseling), (2)
1
−
N
conversations : the robot listens to the speaker's conversations with other
N
people and then recognizes the speaker's personality traits (e.g., group chatbot, home service robot). Since
1
−
N
includes the case of
1
−
1
, we only discusses PRC in
1
−
N
conversations. The task of PRC in
1
−
N
conversations can be formulated as:
$Per_i = argmax_{Per'i}P(Per'_i | C{i,j}, \cdots, C_{i,N})$
where
P
e
r
i
=
[
N
e
u
,
E
x
t
,
O
p
e
,
A
g
r
,
C
o
n
]
is a 5-dimensional vector representing Neuroticism, Extraversion, Openness, Agreeableness, and Conscientiousness.
C
i
,
j
is the conversations between
S
p
e
a
k
e
r
i
and
S
p
e
a
k
e
r
j
(
1
≤
j
≤
N
).",https://paperswithcode.com/task/personality-recognition-in-conversation
Personality Trait Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/personality-trait-recognition
Personalized and Emotional Conversation,"Personalized and Emotional Conversation (PEC) is defined as follows: Given the personalized information (
P
R
1
and
P
R
2
) of two speakers, their conversation context
C
, the emotion
E
K
and DA
D
K
of the response to be generated, and the personalized information
P
K
of the responder, the goal is to generate an anthropomorphic response
Y
.
Y
=
a
r
g
m
a
x
Y
′
P
(
Y
′
|
C
,
E
K
,
D
K
,
P
K
)
Particularly, context
C
=
(
U
1
,
E
1
,
D
1
,
P
1
)
,
⋯
,
(
U
K
−
1
,
E
K
−
1
,
D
K
−
1
,
P
K
−
1
)
contains multi-turn conversation content (i.e., utterance
U
i
), emotion
E
i
of the associated utterance, DA
D
i
of the associated utterance, and personalized information
P
i
of the associated speaker.",https://paperswithcode.com/task/personalized-and-emotional-conversation
Persuasion Strategies,Prediction of Persuasion Strategy in Advertisements,https://paperswithcode.com/task/persuasion-strategies
Photoplethysmography (PPG) heart rate estimation,Estimating heart rate from the photoplethysmogram (PPG) signal,https://paperswithcode.com/task/photoplethysmography-ppg-heart-rate
Point Cloud Registration,"Point Cloud Registration is a fundamental problem in 3D computer vision and photogrammetry. Given several sets of points in different coordinate systems, the aim of registration is to find the transformation that best aligns all of them into a common coordinate system. Point Cloud Registration plays a significant role in many vision applications such as 3D model reconstruction, cultural heritage management, landslide monitoring and solar energy analysis.
Source: Iterative Global Similarity Points : A robust coarse-to-fine integration solution for pairwise 3D point cloud registration",https://paperswithcode.com/task/point-cloud-registration
Point-Supervised Instance Segmentation,Weakly-Supervised Instance Segmentation using Point Labels,https://paperswithcode.com/task/point-supervised-instance-segmentation
Portrait Segmentation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/portrait-segmentation
Pose Contrastive Learning,"Please enter a description about the method here
Source:
Domain Knowledge-Informed Self-Supervised Representations for Workout Form Assessment
Read Paper
See Code",https://paperswithcode.com/method/pose-contrastive-learning
Privacy Preserving Deep Learning,"The goal of privacy-preserving (deep) learning is to train a model while preserving privacy of the training dataset. Typically, it is understood that the trained model should be privacy-preserving (e.g., due to the training algorithm being differentially private).",https://paperswithcode.com/task/privacy-preserving-deep-learning
drone-based object tracking,drone-based object tracking,https://paperswithcode.com/task/drone-based-object-tracking
eXtreme-Video-Frame-Interpolation,"Type of Video Frame Interpolation (VFI) that interpolates an intermediate frame on X4K1000FPS dataset containing 4K videos of 1000 fps with the extreme motion. The dataset has a wide variety of textures, extremely large motions, zoomings and occlusions, which have never been seen in the previous VFI benchmark datasets.",https://paperswithcode.com/task/extreme-video-frame-interpolation
